Site Id,Facility Type,Loc Id,Effective Date,Region,ADO,State Id,State Name,County,County State,City,Name,Ownership,Use,Owner,Owner Address,"Owner City, State, Zip",Owner Phone,Manager,Manager Address,"Manager City, State, Zip",Manager Phone,ARP Latitude,ARP Latitude Sec,ARP Longitude,ARP Longitude Sec,ARP Method,Elevation,Elevation Method,Magnetic Variation,Magnetic Variation Year,Traffic Pattern Altitude,Sectional,Distance From CBD,Direction From CBD,Land Area,ARTCC Id,ARTCC Computer ID,ARTCC Name,Responsible ARTCC Id,Responsible ARTCC Computer Id,Responsible ARTCC Name,Tie In FSS,Tie In FSS Id,Tie In FSS Name,FSS Phone Number,FSS Toll Free Number,Alternate FSS Id,Alternate FSS Name,Alternate FSS Toll Free Number,NOTAM Facility Id,NOTAM Service,Activation Date,Airport Status Code,Certification Type Date,Federal Agreements,Airspace Determination,Customs Airport Of Entry,Customs Landing Rights,Military Joint Use,Military Landing Rights,Inspection Method,Inspection Group,Last Inspection Date,Last Owner Information Date,Fuel Types,Airframe Repair,Power Plant Repair,Bottled Oxygen Type,Bulk Oxygen Type,Lighting Schedule,Beacon Schedule,ATCT,UNICOM,CTAF,Segmented Circle,Beacon Color,Non Commercial Landing Fee,Medical Use,Single Engine Aircraft,Multi Engine Aircraft,Jet Engine Aircraft,Helicopters,Gliders Operational,Military Operational,Ultralights,Commercial Operations,Commuter Operations,Air Taxi Operations,GA Local Operations,GA Itin Operations,Military Operations,Operations Date,Airport Position Source,Airport Position Source Date,Airport Elevation Source,Airport Elevation Source Date,Fuel Available,Transient Storage,Other Services,Wind Indicator,Icao Id,NPIAS Hub,NPIAS Role
50009.*A,AIRPORT,ADK,2021-02-25,AAL,NONE,AK,ALASKA,ALEUTIANS WEST,AK,ADAK ISLAND,ADAK,PU,PU,ALASKA DOT&PF SOUTHCOAST REGION,1500 ANTON LARSON,"KODIAK, AK 99615-2506",907-465-1784,INNOCENT DUSHKIN,P O BOX 1952,"ADAK, AK 99546",907-592-8026,051-53-00.9000N,186780.8980N,176-38-32.9400W,0635912.9360W,E,19.5,S,07E,2000,,W ALEUTIAN ISLS,00,W,,ZAN,ZAN,ANCHORAGE,ZAP,ZAP,ANCHORAGE OCEANIC,N,CDB,COLD BAY,907-532-2466,1-800-478-7250,ENA,KENAI,1-866-864-1737,ADK,Y,1949-04-01,O,I B S 04/2005,N,NO OBJECTION,N,N,N,Y,F,F,2019-07-27,1991-01-08,A1,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,,122.900,Y,CG,,,0,0,0,0,0,0,0,104,,0,0,100,28,2019-06-30,3RD PARTY SURVEY,2017-04-04,3RD PARTY SURVEY,2017-04-04,,HGR,CARGO,Y,PADK,N/A,Local
50016.1*A,AIRPORT,AKK,2021-02-25,AAL,NONE,AK,ALASKA,KODIAK ISLAND,AK,AKHIOK,AKHIOK,PU,PU,ALASKA DOT&PF SOUTHCOAST REGION,PO BOX 112506,"JUNEAU, AK 99811-6900",907-269-0760,PHIL SMITH,1500 ANTON LARSON RD.,"KODIAK, AK 99615",907-487-4952,056-56-19.2900N,204979.2870N,154-10-57.2000W,0555057.2000W,E,44.4,S,18E,2005,,KODIAK,01,SSW,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,ENA,KENAI,907-283-7211,1-866-864-1737,,,,AKK,Y,1979-11-01,O,,NGY,NO OBJECTION,N,N,,Y,C,C,2019-07-30,,,NONE,NONE,NONE,NONE,,,N,122.800,122.800,N,,N,,0,0,0,0,0,0,0,,,1500,,100,,2018-12-31,NACO,1997-03-18,NACO,1997-03-18,,,,Y,PAKH,N/A,Basic
50017.*A,AIRPORT,Z13,2021-02-25,AAL,NONE,AK,ALASKA,BETHEL,AK,AKIACHAK,AKIACHAK,PU,PU,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"ANCHORAGE, AK 99519-6900",907-269-0770,JOSEPH LARAUX,"STATE OF ALASKA DOT, 2016 AIRPORT ROAD","BETHEL, AK 99559",(907) 543-2498,060-54-49.7100N,219289.7150N,161-29-35.9900W,0581375.9850W,E,22.8,S,19E,1985,,MC GRATH,02,W,231,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,ENA,KENAI,907-283-7211,1-866-864-1737,,,,ENA,Y,1968-01-01,O,,N,NO OBJECTION,N,N,N,Y,C,C,2017-06-30,,,NONE,NONE,NONE,NONE,SEE RMK,SEE RMK,N,,122.900,Y,CG,N,,0,0,0,0,0,0,0,,,3000,,,,2016-12-31,STATE,2013-12-02,STATE,2013-12-02,,,CARGO,Y-L,PAZK,N/A,Local
50020.*A,AIRPORT,AKI,2021-02-25,AAL,NONE,AK,ALASKA,BETHEL,AK,AKIAK,AKIAK,PU,PU,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"ANCHORAGE, AK 99519-6900",907-269-0760,JOSEPH LARAUX,P O BOX 505,"BETHEL, AK 99559",(907) 543-2498,060-54-10.4300N,219250.4300N,161-13-50.1000W,0580430.1000W,E,39.8,E,16E,2005,,MC GRATH,00,SW,59,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,ENA,KENAI,907-283-7211,1-866-864-1737,,,,ENA,Y,1966-07-01,O,,N1,NO OBJECTION,N,N,N,Y,C,C,2017-06-30,,,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,,122.900,Y,CG,N,,0,0,0,0,0,0,0,,,1000,,,,2016-12-31,STATE,2014-09-15,STATE,2014-09-15,,,CARGO,Y-L,PFAK,N/A,Local
50022.1*A,AIRPORT,7AK,2021-02-25,AAL,NONE,AK,ALASKA,ALEUTIANS EAST,AK,AKUTAN,AKUTAN,PU,PU,ALASKA DOT&PF SOUTHCOAST REGION,PO BOX 112506,"JUNEAU, AK 99811-2506",(907) 465-1779,DALE RUCKMAN,P.O. BOX 920525,"DUTCH HARBOR, AK 99692",(907) 581-1786,054-08-40.6000N,194920.6000N,165-36-14.7900W,0596174.7900W,E,129.3,S,10E,2015,,DUTCH HARBOR,06,E,369,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,,CDB,COLD BAY,907-532-2466,1-800-478-7250,ENA,KENAI,1-866-864-1737,7AK,Y,2012-07-01,O,,,,,,,,,S,2020-08-14,,,,,,,SEE RMK,SS-SR,N,,122.900,Y,CG,,,0,0,0,0,0,0,0,,,624,,,,2019-12-31,STATE,2014-11-17,3RD PARTY SURVEY,2012-10-03,,,,Y-L,PAUT,N/A,Basic
50024.1*A,AIRPORT,AUK,2021-02-25,AAL,NONE,AK,ALASKA,KUSILVAK,AK,ALAKANUK,ALAKANUK,PU,PU,ALASKA DOT&PF NORTHERN REGION,2301 PEGER ROAD,"FAIRBANKS, AK 99709",907-451-2200,JOHN WILSON,BOX 192,"UNALAKLEET, AK 99684",(907) 625-1025,062-40-59.0000N,225659.0000N,164-43-19.9000W,0592999.9000W,E,21.7,S,17E,1985,,BETHEL,02,S,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,ENA,KENAI,907-283-7211,1-866-864-1737,,,,ENA,Y,,O,,N,NO OBJECTION,N,N,N,Y,C,C,2017-07-01,,,NONE,NONE,NONE,NONE,SEE RMK,SEE RMK,N,,122.900,Y,CG,N,,0,0,0,0,0,0,0,,,1000,,,,2016-12-31,3RD PARTY SURVEY,2012-12-14,3RD PARTY SURVEY,2012-12-14,,TIE,CARGO,Y-L,PAUK,N/A,Local
50027.53*A,AIRPORT,5A8,2021-02-25,AAL,NONE,AK,ALASKA,DILLINGHAM,AK,ALEKNAGIK,ALEKNAGIK /NEW,PU,PU,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"ANCHORAGE, AK 99519-6900",907-269-0760,JON TAYLOR,BOX 250,"DILLINGHAM, AK 99576",907-842-5511,059-16-57.2000N,213417.2000N,158-37-04.3200W,0571024.3200W,E,63,E,20E,1985,,KODIAK,01,E,51,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,,DLG,DILLINGHAM,907-842-5275,LC842-5275,ENA,KENAI,1-866-864-1737,DLG,Y,1982-12-01,O,,N,,,,,Y,C,C,2018-06-12,1982-12-06,,,,,,,,N,,122.900,,,,,0,0,0,0,0,0,0,,,430,0,500,,2017-12-31,STATE,2011-03-24,STATE,2011-03-24,,TIE,,Y,,N/A,Basic
50029.1*A,AIRPORT,6A8,2021-02-25,AAL,NONE,AK,ALASKA,YUKON-KOYUKUK,AK,ALLAKAKET,ALLAKAKET,PU,PU,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",(907) 451-5280,SCOTT RANDBY,2301 PEGER ROAD,"FAIRBANKS, AK 99709",(907) 451-5280,066-33-06.6000N,239586.6000N,152-37-19.8000W,0549439.8000W,E,441.1,S,22E,2005,,FAIRBANKS,01,SSE,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,,FAI,FAIRBANKS,907-474-0788,1-866-248-6516,,,,FAI,Y,1999-10-01,O,,NGY,CONDITIONAL,,,,,F,C,2017-07-02,1999-08-06,,,,,,SEE RMK,SS-SR,N,,122.900,Y,CG,,,0,0,0,0,0,0,0,,,1200,,,20,2016-12-31,3RD PARTY SURVEY,2005-07-02,3RD PARTY SURVEY,2005-07-02,,TIE,,Y-L,PFAL,N/A,Basic
50920.31*A,AIRPORT,A57,2021-02-25,AAL,NONE,AK,ALASKA,YAKUTAT,AK,YAKUTAT,ALSEK RIVER,PU,PU,USFS TONGASS NATIONAL FOREST,"USFS YAKUTAT RANGER DISTRICT, PO BOX 327","YAKUTAT, AK 99689",907-784-3359,LEE BENSON,"USFS YAKUTAT RANGER DISTRICT, PO BOX 327","YAKUTAT, AK 99689",907-784-3359,059-11-56.8800N,213116.8800N,138-26-45.1600W,0498405.1600W,E,53,E,28E,1985,,JUNEAU,44,SE,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,JNU,JUNEAU,907-586-7380,1-866-297-2236,,,,JNU,Y,1965-05-01,O,,,NOT ANALYZED,N,N,N,N,S,S,2020-06-26,,,NONE,NONE,NONE,NONE,,,N,,122.900,N,,N,,,,,,,,,,,100,,100,,2019-12-31,FAA OE/AAA,2016-02-09,FAA OE/AAA,2016-02-09,,TIE,CARGO,Y,,,
50029.61*A,AIRPORT,AFM,2021-02-25,AAL,NONE,AK,ALASKA,NORTHWEST ARCTIC,AK,AMBLER,AMBLER,PU,PU,ALASKA DOT&PF NORTHERN REGION,2301 PEGER ROAD,"FAIRBANKS, AK 99709",907-451-2200,ALVIN WERNEKE,BOX 55,"KOTZEBUE, AK 99752",907-442-3147,067-06-22.3200N,241582.3220N,157-51-25.7600W,0568285.7610W,E,292.6,S,13E,2020,,FAIRBANKS,01,N,272,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,OTZ,KOTZEBUE,907-442-3310,1-800-478-7460,FAI,FAIRBANKS,1-866-248-6516,AFM,Y,,O,,NGY,NO OBJECTION,N,N,,Y,C,C,2017-07-02,,,NONE,NONE,NONE,NONE,SEE RMK,SEE RMK,N,,122.700,Y,CG,N,,1,0,0,0,0,0,0,,,5000,,,,2016-12-31,3RD PARTY SURVEY,2019-05-31,3RD PARTY SURVEY,2019-05-31,,TIE,CHTR,Y-L,PAFM,N/A,Local
