,Site_ID,Name,State,City,ARP_Latitude,ARP_Longitude,NPIAS_Category
686,50385.*A,Juneau Intl,Alaska,Juneau,58.354711111111115,-134.57846944444444,Non-Hub
2145,00128.*A,Anniston Rgnl,Alabama,Anniston,33.588166666666666,-85.8581111111111,Reliever
2683,00146.*A,Auburn University Rgnl,Alabama,Auburn,32.61511111111111,-85.434,Reliever
3563,00164.*A,Birmingham-Shuttlesworth Intl,Alabama,Birmingham,33.56388888888888,-86.75230555555555,Small
9520,00438.*A,Mobile Rgnl,Alabama,Mobile,30.691416666666665,-88.24283333333334,Non-Hub
11343,00498.*A,Roanoke Muni Enloe,Alabama,Roanoke,33.12967777777778,-85.37221666666666,Reliever
16607,00987.*A,Fort Smith Rgnl,Arkansas,Fort Smith,35.33658333333334,-94.36744444444444,Non-Hub
17619,01132.*A,Kirk Fld,Arkansas,Paragould,36.063805555555554,-90.50919444444445,Reliever
20833,01165.*A,Searcy Muni,Arkansas,Searcy,35.21060833333333,-91.73753888888889,Reliever
21356,01176.*A,Springdale Muni,Arkansas,Springdale,36.17638888888889,-94.11925,Reliever
27934,00674.*A,Flagstaff Pulliam,Arizona,Flagstaff,35.14031666666666,-111.66924166666666,Non-Hub
32470,00751.4*A,Phoenix Deer Valley,Arizona,Phoenix,33.68830555555555,-112.08255555555556,Reliever
35598,00788.*A,Scottsdale,Arizona,Scottsdale,33.62288888888889,-111.91052777777779,Reliever
62996,01353.*A,Bob Hope,California,Burbank,34.200694444444444,-118.35866666666666,Medium
65281,01975.1*A,Bob Maxwell Meml Airfield,California,Oceanside,33.21797777777778,-117.35150833333333,Reliever
81097,01346.*A,Bryant Fld,California,Bridgeport,38.264652777777776,-119.22273055555556,Reliever
82159,01437.*A,Buchanan Fld,California,Concord,37.98965555555556,-122.05690277777778,Non-Hub
100368,01369.1*A,Camarillo,California,Camarillo,34.213750000000005,-119.09436111111111,Reliever
118799,01400.5*A,Chowchilla,California,Chowchilla,37.11327777777778,-120.247,Reliever
128755,01434.*A,Compton/Woodley,California,Compton,33.889916666666664,-118.24380555555555,Reliever
134531,01497.*A,Delano Muni,California,Delano,35.745555555555555,-119.2365,Reliever
157939,01590.*A,Fresno Chandler Exec,California,Fresno,36.732125,-119.82033333333332,Reliever
162433,01593.*A,Fullerton Muni,California,Fullerton,33.87201388888889,-117.97978333333333,Reliever
173117,02165.*A,Gillespie Fld,California,San Diego/El Cajon,32.82622222222223,-116.97244444444445,Reliever
184659,01641.*A,Hanford Muni,California,Hanford,36.316722222222225,-119.62766666666666,Reliever
192001,01651.*A,Hayward Exec,California,Hayward,37.65892777777778,-122.1217361111111,Reliever
196970,01654.*A,Hemet-Ryan,California,Hemet,33.734027777777776,-117.02230555555555,Reliever
214400,01647.*A,Jack Northrop Fld/Hawthorne Muni,California,Hawthorne,33.92286111111111,-118.33508333333333,Reliever
240180,01788.2*A,Lompoc,California,Lompoc,34.665619444444445,-120.46750277777778,Reliever
244424,01794.*A,Long Beach /Daugherty Fld/,California,Long Beach,33.817930555555556,-118.15189166666667,Small
249044,01818.*A,Los Angeles Intl,California,Los Angeles,33.94249722222222,-118.40804722222222,Large
255596,01853.*A,Madera Muni,California,Madera,36.9886,-120.11245,Reliever
263781,01376.1*A,Mc Clellan-Palomar,California,Carlsbad,33.12825,-117.28008333333334,Reliever
275464,01971.*A,Metro Oakland Intl,California,Oakland,37.721250000000005,-122.22113888888889,Medium
280776,01899.*A,Mojave Air And Space Port,California,Mojave,35.05894444444444,-118.15061111111112,Reliever
285297,02166.*A,Montgomery-Gibbs Exec,California,San Diego,32.81572222222222,-117.13955555555556,Reliever
287846,01560.*A,Murray Fld,California,Eureka,40.80338888888889,-124.11280555555555,Reliever
301680,02204.*A,Norman Y Mineta San Jose Intl,California,San Jose,37.362994444444446,-121.92861944444445,Medium
