,Site_ID,Name,State,City,ARP_Latitude,ARP_Longitude,NPIAS_Category,CH_Latitude,CH_Longitude,Distance
686,50385.*A,Juneau Intl,Alaska,Juneau,58.354711111111115,-134.57846944444444,Non-Hub,58.359016,-134.559427,0.7520387814650519
2145,00128.*A,Anniston Rgnl,Alabama,Anniston,33.588166666666666,-85.8581111111111,Reliever,33.589379,-85.845525,0.7296562647370685
2683,00146.*A,Auburn University Rgnl,Alabama,Auburn,32.61511111111111,-85.434,Reliever,32.614154,-85.430018,0.24113301379505966
3563,00164.*A,Birmingham-Shuttlesworth Intl,Alabama,Birmingham,33.56388888888888,-86.75230555555555,Small,33.561234,-86.75195,0.1846784403998515
9520,00438.*A,Mobile Rgnl,Alabama,Mobile,30.691416666666665,-88.24283333333334,Non-Hub,30.698362,-88.239289,0.524343965014232
11343,00498.*A,Roanoke Muni Enloe,Alabama,Roanoke,33.12967777777778,-85.37221666666666,Reliever,33.136025,-85.362562,0.7105944587401285
16607,00987.*A,Fort Smith Rgnl,Arkansas,Fort Smith,35.33658333333334,-94.36744444444444,Non-Hub,35.335799,-94.384145,0.9434104091630334
17619,01132.*A,Kirk Fld,Arkansas,Paragould,36.063805555555554,-90.50919444444445,Reliever,36.0602368463538,-90.52057336931152,0.6820965435606903
20833,01165.*A,Searcy Muni,Arkansas,Searcy,35.21060833333333,-91.73753888888889,Reliever,35.201617,-91.732791,0.6769831985099555
21356,01176.*A,Springdale Muni,Arkansas,Springdale,36.17638888888889,-94.11925,Reliever,36.18855,-94.116725,0.8524521024444722
21384,01176.*A,Springdale Muni,Arkansas,Springdale,36.17638888888889,-94.11925,Reliever,36.167392,-94.119169,0.6219937724983139
21405,01176.*A,Springdale Muni,Arkansas,Springdale,36.17638888888889,-94.11925,Reliever,36.167392,-94.119169,0.6219937724983139
27934,00674.*A,Flagstaff Pulliam,Arizona,Flagstaff,35.14031666666666,-111.66924166666666,Non-Hub,35.139399,-111.682258,0.7385828334649762
32470,00751.4*A,Phoenix Deer Valley,Arizona,Phoenix,33.68830555555555,-112.08255555555556,Reliever,33.681971,-112.08565,0.4727197009498135
35598,00788.*A,Scottsdale,Arizona,Scottsdale,33.62288888888889,-111.91052777777779,Reliever,33.635224,-111.915739,0.9039784665241658
35722,00788.*A,Scottsdale,Arizona,Scottsdale,33.62288888888889,-111.91052777777779,Reliever,33.626706,-111.898965,0.7160167207768081
35756,00788.*A,Scottsdale,Arizona,Scottsdale,33.62288888888889,-111.91052777777779,Reliever,33.6235,-111.923,0.7192231897422834
35785,00788.*A,Scottsdale,Arizona,Scottsdale,33.62288888888889,-111.91052777777779,Reliever,33.628056,-111.895518,0.934966171949505
62996,01353.*A,Bob Hope,California,Burbank,34.200694444444444,-118.35866666666666,Medium,34.21136018967161,-118.3487506925903,0.9301081964974316
64193,01353.*A,Bob Hope,California,Burbank,34.200694444444444,-118.35866666666666,Medium,34.196063,-118.352672,0.4690511149687194
64443,01353.*A,Bob Hope,California,Burbank,34.200694444444444,-118.35866666666666,Medium,34.19998,-118.370067,0.6537158028123116
65281,01975.1*A,Bob Maxwell Meml Airfield,California,Oceanside,33.21797777777778,-117.35150833333333,Reliever,33.212501,-117.352552,0.3834048814505124
81097,01346.*A,Bryant Fld,California,Bridgeport,38.264652777777776,-119.22273055555556,Reliever,38.255687,-119.231941,0.7963406618895066
82159,01437.*A,Buchanan Fld,California,Concord,37.98965555555556,-122.05690277777778,Non-Hub,37.982071,-122.046184,0.7848792785376465
82601,01437.*A,Buchanan Fld,California,Concord,37.98965555555556,-122.05690277777778,Non-Hub,37.990485,-122.071241,0.7833128208325787
83683,01437.*A,Buchanan Fld,California,Concord,37.98965555555556,-122.05690277777778,Non-Hub,37.986345,-122.067499,0.621054702465733
100368,01369.1*A,Camarillo,California,Camarillo,34.213750000000005,-119.09436111111111,Reliever,34.222638,-119.104395,0.8405711328556617
118799,01400.5*A,Chowchilla,California,Chowchilla,37.11327777777778,-120.247,Reliever,37.12595,-120.24682,0.876118487147742
128755,01434.*A,Compton/Woodley,California,Compton,33.889916666666664,-118.24380555555555,Reliever,33.88798,-118.250031,0.38153060722520166
134531,01497.*A,Delano Muni,California,Delano,35.745555555555555,-119.2365,Reliever,35.75191,-119.240762,0.5001654800911157
135478,01497.*A,Delano Muni,California,Delano,35.745555555555555,-119.2365,Reliever,35.745535,-119.247818,0.6350463270971143
136811,01497.*A,Delano Muni,California,Delano,35.745555555555555,-119.2365,Reliever,35.750048,-119.241088,0.4033884491670837
