,Airport,Prox_Airports
0,50385.*A,[]
1,00128.*A,"['00146.*A', '00164.*A', '00438.*A', '00498.*A', '00987.*A', '01132.*A', '01165.*A', '03474.*A', '03531.*A', '03112.*A', '03135.*A', '03408.*A', '03423.3*A', '03251.*A', '03250.1*A', '03484.*A', '03642.*A', '03728.*A', '03641.*A', '03643.*A', '03760.*A', '03639.*A', '03805.*A', '03992.*A', '04427.*A', '04650.1*A', '04824.*A', '05388.11*A', '05375.*A', '07055.*A', '07425.*A', '07589.*A', '07675.*A', '07796.*A', '12077.*A', '12151.01*A', '11444.*A', '11270.*A', '17205.1*A', '17220.*A', '18603.*A', '22209.*A', '22309.*A', '22210.*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '25863.*A', '25986.*A', '26627.*A']"
2,00146.*A,"['00128.*A', '00164.*A', '00438.*A', '00498.*A', '01132.*A', '01165.*A', '03474.*A', '03531.*A', '03112.*A', '03135.*A', '03408.*A', '03423.3*A', '03251.*A', '03250.1*A', '03379.*A', '03198.*A', '03484.*A', '03642.*A', '03728.*A', '03641.*A', '03643.*A', '03760.*A', '03639.*A', '03805.*A', '03992.*A', '04427.*A', '04650.1*A', '05388.11*A', '05375.*A', '07055.*A', '07425.*A', '07589.*A', '07675.*A', '07796.*A', '11444.*A', '11270.*A', '17205.1*A', '17220.*A', '22209.*A', '22309.*A', '22210.*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '25863.*A', '25986.*A']"
3,00164.*A,"['00128.*A', '00146.*A', '00438.*A', '00498.*A', '00987.*A', '01132.*A', '01165.*A', '01176.*A', '03474.*A', '03531.*A', '03112.*A', '03135.*A', '03408.*A', '03423.3*A', '03251.*A', '03250.1*A', '03484.*A', '03642.*A', '03728.*A', '03641.*A', '03643.*A', '03760.*A', '03639.*A', '03805.*A', '03992.*A', '04427.*A', '04650.1*A', '04824.*A', '05388.11*A', '05375.*A', '07055.*A', '07425.*A', '07589.*A', '07675.*A', '07796.*A', '12077.*A', '12151.01*A', '11444.*A', '11270.*A', '17205.1*A', '17220.*A', '18603.*A', '19199.2*A', '19253.1*A', '22209.*A', '22309.*A', '22210.*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '25863.*A', '25986.*A']"
4,00438.*A,"['00128.*A', '00146.*A', '00164.*A', '00498.*A', '00987.*A', '01132.*A', '01165.*A', '03474.*A', '03531.*A', '03112.*A', '03135.*A', '03408.*A', '03423.3*A', '03251.*A', '03250.1*A', '03198.*A', '03484.*A', '03642.*A', '03728.*A', '03641.*A', '03643.*A', '03760.*A', '03639.*A', '03805.*A', '03992.*A', '07055.*A', '07425.*A', '07589.*A', '07675.*A', '07796.*A', '11444.*A', '11270.*A', '22209.*A', '22309.*A', '22210.*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '24072.1*A', '24067.61*A']"
5,00498.*A,"['00128.*A', '00146.*A', '00164.*A', '00438.*A', '01132.*A', '01165.*A', '03474.*A', '03531.*A', '03112.*A', '03135.*A', '03408.*A', '03423.3*A', '03251.*A', '03250.1*A', '03198.*A', '03484.*A', '03642.*A', '03728.*A', '03641.*A', '03643.*A', '03760.*A', '03639.*A', '03805.*A', '03992.*A', '04427.*A', '04650.1*A', '04824.*A', '05388.11*A', '05375.*A', '07055.*A', '07425.*A', '07589.*A', '07675.*A', '07796.*A', '12077.*A', '12151.01*A', '11444.*A', '11270.*A', '17205.1*A', '16761.*A', '17220.*A', '18603.*A', '22209.*A', '22309.*A', '22210.*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '25863.*A', '25986.*A']"
6,00987.*A,"['00128.*A', '00164.*A', '00438.*A', '01132.*A', '01165.*A', '01176.*A', '05829.*A', '05839.5*A', '06022.11*A', '06070.*A', '06147.1*A', '06089.*A', '05903.*A', '04427.*A', '04650.1*A', '04938.*A', '04824.*A', '04870.*A', '06811.*A', '06721.*A', '06948.51*A', '07055.*A', '07425.*A', '07589.*A', '07675.*A', '07796.*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '11444.*A', '11270.*A', '12794.*A', '12817.*A', '18771.*A', '18855.*A', '18876.11*A', '18978.32*A', '18989.*A', '19080.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19307.2*A', '19283.*A', '19122.*A', '19289.2*A', '19295.11*A', '19136.*A', '23055.*A', '23097.*A', '23121.*A', '22905.*A', '23522.2*A', '24072.1*A', '23713.*A', '23895.11*A', '23965.1*A', '23454.*A', '24149.11*A', '24135.*A', '23710.38*A', '24163.*A', '24067.61*A', '24889.*A', '24976.*A']"
7,01132.*A,"['00128.*A', '00146.*A', '00164.*A', '00438.*A', '00498.*A', '00987.*A', '01165.*A', '01176.*A', '03642.*A', '03728.*A', '03641.*A', '03643.*A', '03639.*A', '03805.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06070.*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04508.1*A', '04507.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '04503.*A', '05388.11*A', '05375.*A', '05281.*A', '05738.*A', '06811.*A', '06721.*A', '07055.*A', '07425.*A', '07589.*A', '07675.*A', '07796.*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '11444.*A', '11270.*A', '12794.*A', '18603.*A', '18609.*A', '18771.*A', '18855.*A', '18876.11*A', '18978.32*A', '18989.*A', '19080.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19307.2*A', '19283.*A', '19122.*A', '19289.2*A', '19295.11*A', '19136.*A', '22309.*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '24072.1*A', '23713.*A', '23895.11*A', '23965.1*A', '23454.*A', '23710.38*A', '24976.*A', '27346.*A', '27168.1*A', '27505.*A']"
8,01165.*A,"['00128.*A', '00146.*A', '00164.*A', '00438.*A', '00498.*A', '00987.*A', '01132.*A', '01176.*A', '03642.*A', '03728.*A', '03641.*A', '03643.*A', '03639.*A', '03805.*A', '05829.*A', '05839.5*A', '06022.11*A', '06070.*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '05388.11*A', '05375.*A', '06811.*A', '06721.*A', '07055.*A', '07425.*A', '07589.*A', '07675.*A', '07796.*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '11444.*A', '11270.*A', '12794.*A', '18771.*A', '18855.*A', '18876.11*A', '18978.32*A', '18989.*A', '19080.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19307.2*A', '19283.*A', '19122.*A', '19289.2*A', '19295.11*A', '19136.*A', '23055.*A', '22899.*A', '23097.*A', '23121.*A', '22905.*A', '23522.2*A', '24072.1*A', '23713.*A', '23895.11*A', '23965.1*A', '23454.*A', '23710.38*A', '24163.*A', '24067.61*A', '24889.*A', '24976.*A']"
9,01176.*A,"['00164.*A', '00987.*A', '01132.*A', '01165.*A', '05829.*A', '05839.5*A', '06022.11*A', '06039.1*A', '06057.1*A', '06070.*A', '06147.1*A', '06089.*A', '05903.*A', '04427.*A', '04444.*A', '04567.*A', '04650.1*A', '04938.*A', '04767.*A', '04824.*A', '04870.*A', '05388.11*A', '05375.*A', '06811.*A', '06721.*A', '06948.51*A', '07055.*A', '07425.*A', '07589.*A', '07675.*A', '07796.*A', '11816.6*A', '11884.*A', '12077.*A', '12151.01*A', '12160.1*A', '11444.*A', '11270.*A', '12693.*A', '12794.*A', '12817.*A', '18771.*A', '18855.*A', '18876.11*A', '18978.32*A', '18989.*A', '19080.*A', '19143.*A', '19166.*A', '19199.2*A', '19253.1*A', '19307.2*A', '19283.*A', '19122.*A', '19289.2*A', '19295.11*A', '19136.*A', '23055.*A', '23097.*A', '23121.*A', '22905.*A', '23522.2*A', '24072.1*A', '23713.*A', '23895.11*A', '23965.1*A', '23454.*A', '23710.38*A', '24163.*A', '24067.61*A', '24889.*A', '24976.*A', '27505.*A']"
