,Site_ID,Name,State,City,ARP_Latitude,ARP_Longitude,NPIAS_Category
0,50009.*A,Adak,Alaska,Adak Island,51.883583333333334,-176.64248333333333,Reliever
1,50016.1*A,Akhiok,Alaska,Akhiok,56.938691666666664,-154.18255555555555,Reliever
2,50017.*A,Akiachak,Alaska,Akiachak,60.91380833333333,-161.49333055555553,Reliever
3,50020.*A,Akiak,Alaska,Akiak,60.90289722222222,-161.23058333333333,Reliever
4,50022.1*A,Akutan,Alaska,Akutan,54.14461111111111,-165.60410833333333,Reliever
5,50024.1*A,Alakanuk,Alaska,Alakanuk,62.683055555555555,-164.72219444444445,Reliever
6,50027.53*A,Aleknagik /New,Alaska,Aleknagik,59.282555555555554,-158.61786666666669,Reliever
7,50029.1*A,Allakaket,Alaska,Allakaket,66.55183333333333,-152.6221666666667,Reliever
9,50029.61*A,Ambler,Alaska,Ambler,67.1062,-157.85715555555555,Reliever
11,50032.*A,Anaktuvuk Pass,Alaska,Anaktuvuk Pass,68.13361111111112,-151.7433333333333,Reliever
12,50038.*A,Aniak,Alaska,Aniak,61.581405555555556,-159.5453,Non-Hub
13,50039.1*A,Anvik,Alaska,Anvik,62.647333333333336,-160.19005555555555,Reliever
14,50039.8*A,Arctic Village,Alaska,Arctic Village,68.11466944444444,-145.57941666666667,Reliever
15,50040.5*A,Atka,Alaska,Atka,52.22058333333334,-174.20619444444444,Reliever
16,50044.*A,Atmautluak,Alaska,Atmautluak,60.86788888888889,-162.2742777777778,Reliever
17,50044.5*A,Atqasuk Edward Burnell Sr Meml,Alaska,Atqasuk,70.46711111111111,-157.43566666666666,Reliever
18,50055.5*A,Barter Island,Alaska,Barter Island,70.11311111111111,-143.6536111111111,Reliever
20,50058.*A,Beaver,Alaska,Beaver,66.36222222222221,-147.4065,Reliever
21,50061.1*A,Bethel,Alaska,Bethel,60.778555555555556,-161.8371666666667,Non-Hub
22,50062.*A,Bettles,Alaska,Bettles,66.91394444444445,-151.52905555555557,Reliever
23,50068.6*A,Big Lake,Alaska,Big Lake,61.534683333333334,-149.81254722222224,Reliever
24,50068.78*A,Birch Creek,Alaska,Birch Creek,66.27447222222222,-145.81819444444443,Reliever
25,50069.*A,Birchwood,Alaska,Birchwood,61.416088888888886,-149.50830555555555,Reliever
27,50412.9*A,Bob Baker Meml,Alaska,Kiana,66.976125,-160.43869166666667,Reliever
29,50072.*A,Boundary,Alaska,Boundary,64.07830277777778,-141.113375,Reliever
30,50072.5*A,Brevig Mission,Alaska,Brevig Mission,65.33133333333333,-166.4657222222222,Reliever
31,50073.1*A,Buckland,Alaska,Buckland,65.98155555555556,-161.14913888888887,Reliever
32,50090.*A,Central,Alaska,Central,65.57394444444444,-144.7808888888889,Reliever
33,50092.*A,Chalkyitsik,Alaska,Chalkyitsik,66.64502777777778,-143.73988888888888,Reliever
34,50094.3*A,Chandalar Lake,Alaska,Chandalar Lake,67.50451666666666,-148.48322222222222,Reliever
35,50093.95*A,Chandalar Shelf,Alaska,Chandalar Camp,68.06543888888889,-149.5797388888889,Reliever
36,50095.12*A,Chefornak,Alaska,Chefornak,60.136805555555554,-164.27905555555557,Reliever
37,50095.7*A,Chenega Bay,Alaska,Chenega,60.078561111111114,-147.99473333333333,Reliever
38,50096.22*A,Chevak,Alaska,Chevak,61.54083333333333,-165.60088888888887,Reliever
39,50097.*A,Chicken,Alaska,Chicken,64.06675277777778,-141.9513472222222,Reliever
40,50097.53*A,Chignik,Alaska,Chignik,56.31146388888889,-158.3732388888889,Reliever
41,50097.51*A,Chignik Lagoon,Alaska,Chignik Lagoon,56.310966666666666,-158.5344861111111,Reliever
42,50097.54*A,Chignik Lake,Alaska,Chignik Lake,56.25545555555556,-158.77783055555557,Reliever
43,50099.*A,Chisana,Alaska,Chisana,62.07175,-142.04935,Reliever
